Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,academic location dur,activity dur,app usage,bluetooth colocations,conversation dur,darkness dur,deadlines,dow,doy,end_day,end_time,interval,location changes,location variance,phone lock dur,picture_idx,resp_time,running dur,sms,start_day,start_time,uid,walking dur
0,0.0,1,0,0,0.0,0,51347.0,4494.0,432,39,21957.0,20188.0,0,5,89,89,2013-03-30 06:31:29,"(Timestamp('2013-03-29 18:31:29'), Timestamp('2013-03-30 06:31:29'), 88, 89)",72.0,-12.654010445589366,37410.0,2,2013-03-30 00:31:29,1005.0,12,88,2013-03-29 18:31:29,u01,3780.0
0,0.0,1,0,0,0.0,0,9421.0,2521.0,468,38,21047.0,31349.0,0,5,89,90,2013-03-31 01:31:10,"(Timestamp('2013-03-30 13:31:10'), Timestamp('2013-03-31 01:31:10'), 89, 90)",103.0,-10.8235687707999,41535.0,4,2013-03-30 19:31:10,537.0,12,89,2013-03-30 13:31:10,u01,2282.0
0,0.0,1,0,0,0.0,0,18790.0,1497.0,468,48,24224.0,27358.0,0,5,89,90,2013-03-31 04:27:20,"(Timestamp('2013-03-30 16:27:20'), Timestamp('2013-03-31 04:27:20'), 89, 90)",66.0,-10.856813073277108,35530.0,4,2013-03-30 22:27:20,248.0,12,89,2013-03-30 16:27:20,u01,1497.0
0,0.0,1,0,0,0.0,0,43757.0,2365.0,432,39,14130.0,25087.0,0,5,89,89,2013-03-30 09:52:58,"(Timestamp('2013-03-29 21:52:58'), Timestamp('2013-03-30 09:52:58'), 88, 89)",56.0,-17.824077425808447,40576.0,1,2013-03-30 03:52:58,523.0,12,88,2013-03-29 21:52:58,u01,2136.0
0,0.0,1,0,0,0.0,0,0.0,951.0,432,41,6719.0,32714.0,0,5,89,89,2013-03-30 12:00:05,"(Timestamp('2013-03-30 00:00:05'), Timestamp('2013-03-30 12:00:05'), 89, 89)",39.0,-17.732399528633323,34020.0,2,2013-03-30 06:00:05,23.0,12,89,2013-03-30 00:00:05,u01,745.0
0,0.0,0,0,0,0.0,1,0.0,0.0,427,3,413.0,22035.0,0,2,86,86,2013-03-27 10:45:47,"(Timestamp('2013-03-26 22:45:47'), Timestamp('2013-03-27 10:45:47'), 85, 86)",19.0,-17.586429518600283,21986.0,1,2013-03-27 04:45:47,0.0,12,85,2013-03-26 22:45:47,u01,0.0
0,0.0,0,0,0,0.0,1,0.0,0.0,371,3,413.0,6783.0,0,2,86,86,2013-03-27 06:31:35,"(Timestamp('2013-03-26 18:31:35'), Timestamp('2013-03-27 06:31:35'), 85, 86)",9.0,-17.431957418707082,6734.0,2,2013-03-27 00:31:35,0.0,12,85,2013-03-26 18:31:35,u01,0.0
0,0.0,0,0,0,0.0,1,0.0,0.0,371,3,413.0,6944.0,0,2,86,86,2013-03-27 06:34:16,"(Timestamp('2013-03-26 18:34:16'), Timestamp('2013-03-27 06:34:16'), 85, 86)",9.0,-17.431957418707082,6895.0,3,2013-03-27 00:34:16,0.0,12,85,2013-03-26 18:34:16,u01,0.0
0,0.0,0,0,0,0.0,1,0.0,0.0,378,3,413.0,7522.0,0,2,86,86,2013-03-27 06:43:54,"(Timestamp('2013-03-26 18:43:54'), Timestamp('2013-03-27 06:43:54'), 85, 86)",10.0,-17.356564191426372,7473.0,1,2013-03-27 00:43:54,0.0,12,85,2013-03-26 18:43:54,u01,0.0
0,0.0,0,0,0,0.0,1,0.0,0.0,427,3,413.0,22034.0,0,2,86,86,2013-03-27 10:45:46,"(Timestamp('2013-03-26 22:45:46'), Timestamp('2013-03-27 10:45:46'), 85, 86)",19.0,-17.586429518600283,21985.0,2,2013-03-27 04:45:46,0.0,12,85,2013-03-26 22:45:46,u01,0.0
0,0.0,0,0,0,0.0,1,0.0,0.0,427,3,413.0,22033.0,0,2,86,86,2013-03-27 10:45:45,"(Timestamp('2013-03-26 22:45:45'), Timestamp('2013-03-27 10:45:45'), 85, 86)",19.0,-17.586429518600283,21984.0,4,2013-03-27 04:45:45,0.0,12,85,2013-03-26 22:45:45,u01,0.0
0,0.0,0,0,0,0.0,1,1550.0,697.0,432,4,1446.0,28695.0,0,2,86,86,2013-03-27 13:03:27,"(Timestamp('2013-03-27 01:03:27'), Timestamp('2013-03-27 13:03:27'), 86, 86)",48.0,-17.4221522572487,27919.0,3,2013-03-27 07:03:27,289.0,12,86,2013-03-27 01:03:27,u01,679.0
0,0.0,0,0,0,0.0,1,43671.0,3668.0,430,34,11788.0,25896.0,0,2,86,87,2013-03-28 00:04:35,"(Timestamp('2013-03-27 12:04:35'), Timestamp('2013-03-28 00:04:35'), 86, 87)",98.0,-11.757582876271787,17420.0,1,2013-03-27 18:04:35,1727.0,12,86,2013-03-27 12:04:35,u01,2699.0
0,0.0,0,0,0,0.0,1,4734.0,697.0,432,4,4028.0,28695.0,0,2,86,86,2013-03-27 13:50:00,"(Timestamp('2013-03-27 01:50:00'), Timestamp('2013-03-27 13:50:00'), 86, 86)",48.0,-12.921356769415016,27919.0,1,2013-03-27 07:50:00,289.0,12,86,2013-03-27 01:50:00,u01,679.0
0,0.0,0,0,0,0.0,1,41538.0,3148.0,439,33,11788.0,25896.0,0,2,86,86,2013-03-27 23:11:01,"(Timestamp('2013-03-27 11:11:01'), Timestamp('2013-03-27 23:11:01'), 86, 86)",91.0,-11.824322457575997,18621.0,3,2013-03-27 17:11:01,1458.0,12,86,2013-03-27 11:11:01,u01,2179.0
0,0.0,0,0,0,0.0,1,52660.0,1618.0,367,27,11532.0,34165.0,0,2,86,87,2013-03-28 04:37:40,"(Timestamp('2013-03-27 16:37:40'), Timestamp('2013-03-28 04:37:40'), 86, 87)",68.0,-13.310115878426931,12295.0,4,2013-03-27 22:37:40,768.0,12,86,2013-03-27 16:37:40,u01,1144.0
0,0.0,0,0,0,0.0,1,51643.0,2766.0,397,28,11540.0,33661.0,0,2,86,87,2013-03-28 02:46:14,"(Timestamp('2013-03-27 14:46:14'), Timestamp('2013-03-28 02:46:14'), 86, 87)",83.0,-12.617892391771965,18981.0,2,2013-03-27 20:46:14,1211.0,12,86,2013-03-27 14:46:14,u01,1846.0
0,0.0,0,1,0,0.0,0,0.0,195.0,468,51,7967.0,7191.0,0,6,90,90,2013-03-31 12:39:24,"(Timestamp('2013-03-31 00:39:24'), Timestamp('2013-03-31 12:39:24'), 90, 90)",42.0,-18.036107646721792,29970.0,2,2013-03-31 06:39:24,0.0,12,90,2013-03-31 00:39:24,u01,195.0
0,0.0,0,1,0,0.0,0,17258.0,1028.0,468,55,13231.0,14408.0,0,6,90,90,2013-03-31 08:45:47,"(Timestamp('2013-03-30 20:45:47'), Timestamp('2013-03-31 08:45:47'), 89, 90)",62.0,-12.472764708552793,36684.0,4,2013-03-31 02:45:47,248.0,12,89,2013-03-30 20:45:47,u01,1028.0
0,0.0,0,1,0,0.0,0,570.0,1718.0,468,22,14637.0,30362.0,0,6,90,91,2013-04-01 00:49:09,"(Timestamp('2013-03-31 12:49:09'), Timestamp('2013-04-01 00:49:09'), 90, 91)",29.0,-18.257312139738808,35658.0,4,2013-03-31 18:49:09,5.0,12,90,2013-03-31 12:49:09,u01,1718.0
0,0.0,0,0,0,0.0,1,23079.0,2379.0,174,51,9912.0,8004.0,0,2,93,93,2013-04-03 16:03:37,"(Timestamp('2013-04-03 04:03:37'), Timestamp('2013-04-03 16:03:37'), 93, 93)",56.0,-11.257035964163782,38509.0,4,2013-04-03 10:03:37,1662.0,12,93,2013-04-03 04:03:37,u01,945.0
0,0.0,0,0,0,0.0,1,10571.0,4333.0,203,74,32869.0,28759.0,0,2,93,93,2013-04-03 23:53:51,"(Timestamp('2013-04-03 11:53:51'), Timestamp('2013-04-03 23:53:51'), 93, 93)",68.0,-11.073762576749232,39544.0,2,2013-04-03 17:53:51,3038.0,12,93,2013-04-03 11:53:51,u01,1747.0
0,0.0,0,0,0,0.0,1,28289.0,2280.0,216,39,36220.0,32897.0,0,2,93,94,2013-04-04 04:44:44,"(Timestamp('2013-04-03 16:44:44'), Timestamp('2013-04-04 04:44:44'), 93, 94)",31.0,-11.751243361369257,41468.0,3,2013-04-03 22:44:44,1188.0,12,93,2013-04-03 16:44:44,u01,1128.0
0,0.0,0,0,0,0.0,1,15120.0,2023.0,161,22,4809.0,0.0,0,2,93,93,2013-04-03 12:02:59,"(Timestamp('2013-04-03 00:02:59'), Timestamp('2013-04-03 12:02:59'), 93, 93)",29.0,-11.499567090980277,34246.0,4,2013-04-03 06:02:59,448.0,12,93,2013-04-03 00:02:59,u01,1827.0
0,0.0,0,0,1,0.0,0,46670.0,7646.0,332,28,19505.0,28307.0,0,3,87,88,2013-03-29 03:18:37,"(Timestamp('2013-03-28 15:18:37'), Timestamp('2013-03-29 03:18:37'), 87, 88)",87.0,-12.126081538108403,25932.0,3,2013-03-28 21:18:37,1487.0,12,87,2013-03-28 15:18:37,u01,6747.0
0,0.0,0,0,1,0.0,0,55238.0,1124.0,343,29,12112.0,29913.0,0,3,87,87,2013-03-28 06:00:07,"(Timestamp('2013-03-27 18:00:07'), Timestamp('2013-03-28 06:00:07'), 86, 87)",60.0,-13.336889820769413,7400.0,4,2013-03-28 00:00:07,768.0,12,86,2013-03-27 18:00:07,u01,650.0
0,0.0,0,0,1,0.0,0,63629.0,1049.0,324,42,10943.0,17941.0,0,3,87,87,2013-03-28 10:57:51,"(Timestamp('2013-03-27 22:57:51'), Timestamp('2013-03-28 10:57:51'), 86, 87)",67.0,-13.351525629184403,5168.0,3,2013-03-28 04:57:51,763.0,12,86,2013-03-27 22:57:51,u01,575.0
0,0.0,0,0,1,0.0,0,44931.0,527.0,324,45,9429.0,10782.0,0,3,87,87,2013-03-28 12:31:19,"(Timestamp('2013-03-28 00:31:19'), Timestamp('2013-03-28 12:31:19'), 87, 87)",56.0,-17.811812677543347,0.0,4,2013-03-28 06:31:19,494.0,12,87,2013-03-28 00:31:19,u01,53.0
0,0.0,0,0,1,0.0,0,46670.0,7646.0,330,27,18417.0,25262.0,0,3,87,88,2013-03-29 02:27:52,"(Timestamp('2013-03-28 14:27:52'), Timestamp('2013-03-29 02:27:52'), 87, 88)",88.0,-12.121494855035264,22887.0,4,2013-03-28 20:27:52,1487.0,12,87,2013-03-28 14:27:52,u01,6747.0
0,0.0,0,0,1,0.0,0,47073.0,6621.0,340,34,21000.0,36821.0,0,3,87,88,2013-03-29 05:53:02,"(Timestamp('2013-03-28 17:53:02'), Timestamp('2013-03-29 05:53:02'), 87, 88)",72.0,-12.220990018126123,31800.0,2,2013-03-28 23:53:02,981.0,12,87,2013-03-28 17:53:02,u01,6158.0
1,0.0,0,0,0,0.0,0,44791.0,6497.0,411,51,23456.0,18675.0,0,4,88,88,2013-03-29 23:00:10,"(Timestamp('2013-03-29 11:00:10'), Timestamp('2013-03-29 23:00:10'), 88, 88)",109.0,-11.29619580290592,25731.0,4,2013-03-29 17:00:10,2915.0,12,88,2013-03-29 11:00:10,u01,3898.0
1,0.0,0,0,0,0.0,0,46617.0,5519.0,343,37,18321.0,39544.0,0,4,88,88,2013-03-29 07:02:16,"(Timestamp('2013-03-28 19:02:16'), Timestamp('2013-03-29 07:02:16'), 87, 88)",74.0,-12.471223325319283,31932.0,3,2013-03-29 01:02:16,945.0,12,87,2013-03-28 19:02:16,u01,5056.0
1,0.0,0,0,0,0.0,0,0.0,910.0,359,50,9080.0,42359.0,0,4,88,88,2013-03-29 12:20:02,"(Timestamp('2013-03-29 00:20:02'), Timestamp('2013-03-29 12:20:02'), 88, 88)",42.0,-18.36634125768509,38954.0,3,2013-03-29 06:20:02,0.0,12,88,2013-03-29 00:20:02,u01,910.0
1,0.0,0,0,0,0.0,0,54016.0,7614.0,425,53,29302.0,10057.0,0,4,88,89,2013-03-30 01:25:31,"(Timestamp('2013-03-29 13:25:31'), Timestamp('2013-03-30 01:25:31'), 88, 89)",115.0,-11.466020941362592,28903.0,4,2013-03-29 19:25:31,3175.0,12,88,2013-03-29 13:25:31,u01,5234.0
0,1.0,0,0,0,0.0,0,570.0,1547.0,468,8,22523.0,37970.0,0,0,91,91,2013-04-01 08:45:37,"(Timestamp('2013-03-31 20:45:37'), Timestamp('2013-04-01 08:45:37'), 90, 91)",31.0,-18.278197334106878,42804.0,1,2013-04-01 02:45:37,5.0,12,90,2013-03-31 20:45:37,u01,1547.0
0,1.0,0,0,0,0.0,0,11998.0,11029.0,426,29,19298.0,30942.0,0,0,91,92,2013-04-02 03:24:30,"(Timestamp('2013-04-01 15:24:30'), Timestamp('2013-04-02 03:24:30'), 91, 92)",64.0,-11.979755772184506,32288.0,3,2013-04-01 21:24:30,2622.0,12,91,2013-04-01 15:24:30,u01,9916.0
0,1.0,0,0,0,0.0,0,3718.0,11029.0,468,26,16640.0,35082.0,0,0,91,92,2013-04-02 02:15:30,"(Timestamp('2013-04-01 14:15:30'), Timestamp('2013-04-02 02:15:30'), 91, 92)",68.0,-11.967748808876545,36428.0,1,2013-04-01 20:15:30,2622.0,12,91,2013-04-01 14:15:30,u01,9916.0
0,0.0,0,0,0,1.0,0,663.0,687.0,176,12,6461.0,0.0,0,1,92,92,2013-04-02 12:03:03,"(Timestamp('2013-04-02 00:03:03'), Timestamp('2013-04-02 12:03:03'), 92, 92)",31.0,-18.59747588589833,0.0,4,2013-04-02 06:03:03,221.0,12,92,2013-04-02 00:03:03,u01,484.0
0,0.0,0,0,0,1.0,0,9681.0,5181.0,144,15,9851.0,0.0,0,1,92,93,2013-04-03 02:50:22,"(Timestamp('2013-04-02 14:50:22'), Timestamp('2013-04-03 02:50:22'), 92, 93)",59.0,-12.25935747466154,35952.0,4,2013-04-02 20:50:22,1657.0,12,92,2013-04-02 14:50:22,u01,4002.0
0,0.0,0,0,1,0.0,0,0.0,403.0,216,11,15330.0,4669.0,0,3,94,94,2013-04-04 13:28:28,"(Timestamp('2013-04-04 01:28:28'), Timestamp('2013-04-04 13:28:28'), 94, 94)",24.0,-15.777680982457545,4670.0,4,2013-04-04 07:28:28,0.0,12,94,2013-04-04 01:28:28,u01,403.0
0,0.0,0,0,1,0.0,0,0.0,213.0,216,7,11261.0,4669.0,0,3,94,94,2013-04-04 14:47:09,"(Timestamp('2013-04-04 02:47:09'), Timestamp('2013-04-04 14:47:09'), 94, 94)",26.0,-15.597211494154926,4670.0,4,2013-04-04 08:47:09,0.0,12,94,2013-04-04 02:47:09,u01,213.0
0,0.0,0,0,1,0.0,0,3562.0,8216.0,216,36,27659.0,30650.0,0,3,94,95,2013-04-05 01:57:05,"(Timestamp('2013-04-04 13:57:05'), Timestamp('2013-04-05 01:57:05'), 94, 95)",57.0,-11.697223909350614,32565.0,2,2013-04-04 19:57:05,1770.0,12,94,2013-04-04 13:57:05,u01,6990.0
1,0.0,0,0,0,0.0,0,24355.0,1744.0,216,12,17516.0,18394.0,0,4,95,95,2013-04-05 10:08:10,"(Timestamp('2013-04-04 22:08:10'), Timestamp('2013-04-05 10:08:10'), 94, 95)",34.0,-13.97767113030426,42941.0,3,2013-04-05 04:08:10,509.0,12,94,2013-04-04 22:08:10,u01,1297.0
1,0.0,0,0,0,0.0,0,0.0,928.0,216,12,11066.0,0.0,0,4,95,95,2013-04-05 12:08:32,"(Timestamp('2013-04-05 00:08:32'), Timestamp('2013-04-05 12:08:32'), 95, 95)",17.0,-18.403945595917374,42963.0,3,2013-04-05 06:08:32,15.0,12,95,2013-04-05 00:08:32,u01,725.0
